index,x,r,g,b,hex
194,0.76078431,0.83005034,0.70120049,0.10910475,#d4b31c
195,0.76470588,0.84253389,0.70129696,0.03552378,#d7b309
196,0.76862745,0.85250770,0.70196863,0.00000000,#d9b300
197,0.77254902,0.86112370,0.70301220,0.00000000,#dcb300
198,0.77647059,0.86950573,0.70415400,0.00000000,#deb400
199,0.78039216,0.87767479,0.70538699,0.00000000,#e0b400
200,0.78431373,0.88564946,0.70670477,0.00000000,#e2b400
201,0.78823529,0.89344625,0.70810158,0.00000000,#e4b500
202,0.79215686,0.90107985,0.70957216,0.00000000,#e6b500
203,0.79607843,0.90856342,0.71111174,0.00000000,#e8b500
204,0.80000000,0.91590876,0.71271597,0.00000000,#eab600
205,0.80392157,0.92312647,0.71438084,0.00000000,#ebb600
206,0.80784314,0.93022614,0.71610272,0.00000000,#edb700
207,0.81176471,0.93721643,0.71787824,0.00000000,#efb700
208,0.81568627,0.94410519,0.71970434,0.00000000,#f1b800
209,0.81960784,0.95089956,0.72157815,0.00000000,#f2b800
210,0.82352941,0.95760605,0.72349707,0.00000000,#f4b800
211,0.82745098,0.96423061,0.72545867,0.00000000,#f6b900
212,0.83137255,0.97077865,0.72746071,0.00000000,#f8ba00
213,0.83529412,0.97725518,0.72950111,0.00000000,#f9ba00
214,0.83921569,0.98366476,0.73157794,0.00000000,#fbbb00
215,0.84313725,0.98771744,0.73498568,0.00000000,#fcbb00
216,0.84705882,0.99117240,0.73873450,0.00000000,#fdbc00
217,0.85098039,0.99460660,0.74249875,0.00000000,#febd00
218,0.85490196,0.99801929,0.74627876,0.00000000,#febe00
219,0.85882353,1.00000000,0.75059100,0.03859211,#ffbf0a
220,0.86274510,1.00000000,0.75561532,0.10164118,#ffc11a
221,0.86666667,1.00000000,0.76061825,0.14165747,#ffc224
222,0.87058824,1.00000000,0.76560016,0.17330565,#ffc32c
223,0.87450980,1.00000000,0.77056147,0.20033210,#ffc433
224,0.87843137,1.00000000,0.77550252,0.22435769,#ffc639
225,0.88235294,1.00000000,0.78042367,0.24625245,#ffc73f
226,0.88627451,1.00000000,0.78532525,0.26654495,#ffc844
227,0.89019608,1.00000000,0.79020757,0.28558360,#ffca49
228,0.89411765,1.00000000,0.79507094,0.30361180,#ffcb4d
229,0.89803922,1.00000000,0.79991563,0.32080722,#ffcc52
230,0.90196078,1.00000000,0.80474190,0.33730405,#ffcd56
231,0.90588235,1.00000000,0.80955000,0.35320650,#ffce5a
232,0.90980392,1.00000000,0.81434015,0.36859736,#ffd05e
233,0.91372549,1.00000000,0.81911256,0.38354372,#ffd162
234,0.91764706,1.00000000,0.82386741,0.39810081,#ffd266
235,0.92156863,1.00000000,0.82860488,0.41231482,#ffd369
236,0.92549020,1.00000000,0.83332510,0.42622488,#ffd46d
237,0.92941176,1.00000000,0.83802821,0.43986452,#ffd670
238,0.93333333,1.00000000,0.84271430,0.45326282,#ffd774
239,0.93725490,1.00000000,0.84738345,0.46644522,#ffd877
240,0.94117647,1.00000000,0.85203571,0.47943427,#ffd97a
241,0.94509804,1.00000000,0.85667110,0.49225007,#ffda7e
242,0.94901961,1.00000000,0.86128960,0.50491080,#ffdc81
243,0.95294118,1.00000000,0.86589118,0.51743298,#ffdd84
244,0.95686275,1.00000000,0.87047576,0.52983183,#ffde87
245,0.96078431,1.00000000,0.87504321,0.54212149,#ffdf8a
246,0.96470588,1.00000000,0.87959338,0.55431525,#ffe08d
247,0.96862745,1.00000000,0.88412604,0.56642571,#ffe190
248,0.97254902,1.00000000,0.88864094,0.57846499,#ffe394
249,0.97647059,1.00000000,0.89313773,0.59044486,#ffe497
250,0.98039216,1.00000000,0.89761602,0.60237692,#ffe59a
251,0.98431373,1.00000000,0.90207534,0.61427270,#ffe69d
252,0.98823529,1.00000000,0.90651509,0.62614387,#ffe7a0
253,0.99215686,1.00000000,0.91093462,0.63800235,#ffe8a3
254,0.99607843,1.00000000,0.91533312,0.64986050,#ffe9a6
255,1.00000000,1.00000000,0.91970966,0.66173129,#ffeba9
