index,x,r,g,b,hex
178,0.69803922,0.32311870,0.68425444,0.97702618,#52aef9
179,0.70196078,0.32820361,0.68866363,0.97549997,#54b0f9
180,0.70588235,0.33329072,0.69305992,0.97396051,#55b1f8
181,0.70980392,0.33838001,0.69744359,0.97240769,#56b2f8
182,0.71372549,0.34347147,0.70181490,0.97084137,#58b3f8
183,0.71764706,0.34856512,0.70617413,0.96926145,#59b4f7
184,0.72156863,0.35366093,0.71052152,0.96766779,#5ab5f7
185,0.72549020,0.35875892,0.71485734,0.96606028,#5bb6f6
186,0.72941176,0.36385910,0.71918182,0.96443879,#5db7f6
187,0.73333333,0.36896146,0.72349520,0.96280318,#5eb8f6
188,0.73725490,0.37406601,0.72779771,0.96115334,#5fbaf5
189,0.74117647,0.37917276,0.73208956,0.95948913,#61bbf5
190,0.74509804,0.38428173,0.73637098,0.95781042,#62bcf4
191,0.74901961,0.38939291,0.74064219,0.95611706,#63bdf4
192,0.75294118,0.39450633,0.74490337,0.95440893,#65bef3
193,0.75686275,0.39962200,0.74915474,0.95268588,#66bff3
194,0.76078431,0.40473992,0.75339649,0.95094778,#67c0f2
195,0.76470588,0.40986012,0.75762881,0.94919447,#69c1f2
196,0.76862745,0.41498260,0.76185188,0.94742582,#6ac2f2
197,0.77254902,0.42010739,0.76606589,0.94564167,#6bc3f1
198,0.77647059,0.42523449,0.77027101,0.94384187,#6cc4f1
199,0.78039216,0.43086890,0.77434310,0.94218178,#6ec5f0
200,0.78431373,0.44097167,0.77728834,0.94190945,#70c6f0
201,0.78823529,0.45094081,0.78022590,0.94162865,#73c7f0
202,0.79215686,0.46078576,0.78315584,0.94133936,#76c8f0
203,0.79607843,0.47051503,0.78607820,0.94104152,#78c8f0
204,0.80000000,0.48013633,0.78899303,0.94073509,#7ac9f0
205,0.80392157,0.48965667,0.79190039,0.94042003,#7dcaf0
206,0.80784314,0.49908241,0.79480032,0.94009630,#7fcbf0
207,0.81176471,0.50841939,0.79769288,0.93976385,#82cbf0
208,0.81568627,0.51767294,0.80057811,0.93942264,#84ccf0
209,0.81960784,0.52684797,0.80345606,0.93907263,#86cdef
210,0.82352941,0.53594898,0.80632678,0.93871376,#89ceef
211,0.82745098,0.54498015,0.80919030,0.93834600,#8bceef
212,0.83137255,0.55394534,0.81204668,0.93796930,#8dcfef
213,0.83529412,0.56284810,0.81489596,0.93758360,#90d0ef
214,0.83921569,0.57169177,0.81773818,0.93718888,#92d1ef
215,0.84313725,0.58047941,0.82057338,0.93678507,#94d1ef
216,0.84705882,0.58921392,0.82340161,0.93637213,#96d2ef
217,0.85098039,0.59789797,0.82622291,0.93595002,#98d3ef
218,0.85490196,0.60653406,0.82903731,0.93551868,#9bd3ef
219,0.85882353,0.61512456,0.83184485,0.93507806,#9dd4ee
220,0.86274510,0.62367165,0.83464558,0.93462812,#9fd5ee
221,0.86666667,0.63217741,0.83743954,0.93416881,#a1d6ee
222,0.87058824,0.64064379,0.84022675,0.93370008,#a3d6ee
223,0.87450980,0.64907259,0.84300726,0.93322187,#a6d7ee
224,0.87843137,0.65746556,0.84578110,0.93273413,#a8d8ee
225,0.88235294,0.66582432,0.84854832,0.93223681,#aad8ee
226,0.88627451,0.67415040,0.85130893,0.93172987,#acd9ee
227,0.89019608,0.68244525,0.85406299,0.93121324,#aedaed
228,0.89411765,0.69071024,0.85681052,0.93068687,#b0daed
229,0.89803922,0.69894668,0.85955155,0.93015071,#b2dbed
230,0.90196078,0.70715579,0.86228613,0.92960471,#b4dced
231,0.90588235,0.71533876,0.86501427,0.92904881,#b6dded
232,0.90980392,0.72349668,0.86773602,0.92848295,#b8dded
233,0.91372549,0.73163062,0.87045141,0.92790707,#bbdeed
